Loading dataset...	
11,12	
11,11	
8,6	
11,6	
10,8	
11,6	
11,6	
1,8	
4,12	
10,11	
12,8	
12,12	
6,6	
12,12	
11,12	
11,11	
10,10	
11,11	
1,8	
6,6	
10,11	
10,11	
11,11	
2,6	
11,6	
6,6	
10,11	
10,10	
10,10	
6,6	
11,6	
11,6	
10,10	
10,6	
8,8	
6,6	
7,12	
12,12	
6,10	
10,10	
12,12	
11,11	
10,10	
12,5	
11,11	
11,11	
10,6	
6,10	
11,11	
4,12	
10,10	
12,12	
12,12	
6,3	
12,12	
6,6	
12,3	
6,5	
6,11	
11,11	
11,11	
5,10	
11,11	
11,11	
11,10	
12,10	
4,12	
1,1	
6,8	
12,5	
8,8	
11,11	
12,10	
11,11	
11,11	
2,3	
10,10	
7,7	
3,1	
7,7	
6,11	
10,10	
2,6	
11,11	
6,5	
12,12	
12,12	
3,8	
6,11	
3,5	
12,12	
6,5	
11,11	
11,10	
11,12	
4,10	
6,10	
11,11	
6,8	
11,11	
12,12	
10,10	
11,11	
4,12	
11,11	
6,3	
11,11	
4,1	
12,12	
11,11	
6,12	
5,5	
11,11	
11,11	
8,8	
11,11	
8,10	
11,11	
12,12	
6,6	
6,3	
6,6	
4,5	
11,3	
11,3	
1,3	
6,11	
11,11	
11,11	
10,10	
11,11	
2,12	
11,3	
8,8	
6,6	
4,10	
4,12	
11,11	
5,5	
9,9	
3,11	
12,12	
11,6	
9,9	
8,8	
9,9	
9,9	
3,3	
9,9	
6,9	
5,5	
1,1	
9,9	
11,6	
10,12	
3,6	
3,5	
11,11	
12,12	
11,11	
9,9	
5,11	
9,9	
9,9	
9,9	
3,8	
3,8	
5,5	
12,11	
9,9	
12,12	
8,8	
11,11	
11,9	
3,5	
12,6	
9,9	
3,5	
9,9	
11,6	
3,11	
9,9	
8,12	
11,11	
9,9	
3,8	
9,9	
11,11	
12,6	
3,3	
9,9	
3,8	
9,9	
10,10	
9,9	
9,9	
9,9	
3,6	
5,3	
12,12	
3,8	
9,9	
9,9	
11,11	
9,10	
11,12	
3,8	
6,9	
5,8	
9,9	
9,9	
10,10	
5,9	
3,12	
9,9	
3,3	
3,11	
8,9	
12,12	
3,8	
12,12	
3,6	
11,11	
11,11	
3,3	
12,6	
6,3	
9,9	
3,5	
12,12	
9,9	
9,9	
5,8	
9,9	
3,3	
9,9	
9,9	
12,12	
9,9	
11,11	
8,8	
9,7	
11,11	
9,9	
9,9	
7,7	
9,9	
9,9	
10,10	
11,10	
9,9	
11,11	
